1;"";"0000-00-00 00:00:00";"";"2018-05-10 09:02:00";"";"2018-05-10 11:01:00";"fm1";"A";1;"";"";"";"";"";"";"";"Leiter FmBSt";"f";"";"bitte die Dropbox auf dem Fileserver einrichten";"2018-05-10 09:03:00";"EAL DLRG WE";"s14";"S1S4";"2018-05-10 11:02:00";"si1";"S2_rt,S1S4_bl,S1S4_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2018-05-10 11:01:50"
2;"";"0000-00-00 00:00:00";"";"2018-05-10 09:29:00";"";"2018-05-10 09:41:00";"fm1";"A";2;"";"";"";"";"";"Fu";"";"S1";"f";"";"Ben&ouml;tigen Wasserkiste medium, Kaffee mit Zubeh&ouml;r, Andere Getr&auml;nke gerne in die BerF&Uuml;. Gerne auch etwas S&uuml;&szlig;es.";"2018-05-10 09:29:00";"EAL DLRG WE";"s2";"S2";"2018-05-10 09:46:00";"si1";"S2_rt,S1S4_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2018-05-10 09:46:31"
3;"Fe";"2018-05-10 09:34:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";3;"KooSt";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 9 St&auml;rke 1/11/41 // 53 an EAL &uuml;bergeben";"2018-05-10 09:34:00";"KooSt";"";"";"2018-05-10 09:35:00";"si1";"S2_rt,EL_bl,S1S4_bl,S1S4_gn,S3S6_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2018-05-10 09:35:35"
4;"Fe";"2018-05-10 09:38:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";4;"Steuerer Brandenburg";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"&Auml;nderung der Zugverteilung\
\
WRZ 3 - f&auml;hrt nach GE zur Schleuse mit B. Spieker\
WRZ 6 - f&auml;hrt nach Henrichenburg mit S. Hengesbach\
WRZ 7 - f&auml;hrt nach Dorsten mit K. Franksmann\
WRZ 9 - f&auml;hrt zur Br&uuml;cke A42 mit S.Stratmann-Wiegand";"2018-05-10 09:38:00";"Steuerer Brandenburg";"";"";"2018-05-10 09:42:00";"si1";"S2_rt,EL_bl,S1S4_bl,S3S6_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2018-05-10 09:42:30"
5;"Fe";"2018-05-10 09:40:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";5;"KooSt";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ6 in der St&auml;rke 2/11/40 // 53 an EAL &uuml;bergeben";"2018-05-10 09:40:00";"KooSt";"";"";"2018-05-10 09:43:00";"si1";"S2_rt,EL_bl,S1S4_bl,S3S6_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2018-05-10 09:42:41"
6;"Fu";"2018-05-10 09:46:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";6;"WRZ 9";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 9 meldet die St&auml;rke 1/11/41 // 53 ";"2018-05-10 09:46:00";"WRZ 9";"";"";"2018-05-10 09:47:00";"si1";"S2_rt,S1S4_bl,S3S6_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2018-05-10 09:46:44"
7;"Fe";"2018-05-10 09:53:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";7;"Koost";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Der WRZ 7 mit der St&auml;rke 1/11/41//53 wird ihnen unterstellt und befindet sich derzeit im Sammelraum Parkallee 1 in Gelsenkirchen.\
Ihm wird die Funkgruppe von der Koost mitgeteilt und meldet sich dann &uuml;ber Funk";"2018-05-10 09:53:00";"Koost";"";"";"2018-05-10 09:58:00";"si1";"S2_rt,EL_bl,S1S4_bl,S3S6_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2018-05-10 09:58:16"
8;"Fu";"2018-05-10 09:53:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";8;"WRZ 6";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 6 meldet St&auml;rke 2/11/40//53       ";"2018-05-10 09:53:00";"WRZ 6";"";"";"2018-05-10 09:58:00";"si1";"S2_rt,S1S4_bl,S3S6_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2018-05-10 09:57:45"
9;"Fu";"2018-05-10 09:56:00";"fm3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";9;"WRZ 7";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 7 mit der St&auml;rke 1/11/41/53 abmarschbereit im Sammelraum.";"2018-05-10 09:56:00";"WRZ 7";"";"";"2018-05-10 09:58:00";"si1";"S2_rt,EL_bl,S1S4_bl,S3S6_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2018-05-10 09:57:36"
10;"Fe";"2018-05-10 10:19:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";10;"KooSt";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ2 steht in der St&auml;rke 2/11/40 // 53 im Sammelraum Parkalle 1, Gelsenkirchen";"2018-05-10 10:19:00";"KooSt";"";"";"2018-05-10 10:22:00";"si1";"S2_rt,EL_bl,S1S4_bl,S1S4_gn,S3S6_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2018-05-10 10:21:46"
