1;"2022-05-25 19:07:00";"Anmelden";"Sichter_1;si1;Si;Stab;59tb590tfbg1pr0mpfrrapdjq5;10.10.13.24"
2;"2022-05-25 19:07:00";"Abmelden";"Sichter_1;si1;Si;Stab;59tb590tfbg1pr0mpfrrapdjq5;10.10.13.24"
3;"2022-05-25 19:09:00";"Anmelden";"FM1;fm1;A/W;Fernmelder;5foeeak2n131oa771ip8udjnp7;10.10.13.24"
4;"2022-05-25 19:09:00";"Abmelden";"FM1;fm1;A/W;Fernmelder;5foeeak2n131oa771ip8udjnp7;10.10.13.24"
5;"2022-05-25 19:10:00";"Funktion Ummelden";"FM1;fm1;A/W;Fernmelder;0475c2u0gd9m41rfgml9fhvcr4;10.10.13.21"
6;"2022-05-25 19:11:00";"Anmelden";"FM2;fm2;EL;Stab;osql81ni6fktv0v24lsslard56;10.10.13.24"
7;"2022-05-25 19:11:00";"Abmelden";"FM2;fm2;EL;Stab;osql81ni6fktv0v24lsslard56;10.10.13.24"
8;"2022-05-25 19:12:00";"Funktion Ummelden";"FM2;fm2;A/W;Fernmelder;jgnleo01jrcvg46bn93mlel5k3;10.10.13.24"
9;"2022-05-25 19:12:00";"Abmelden";"FM2;fm2;A/W;Fernmelder;jgnleo01jrcvg46bn93mlel5k3;10.10.13.24"
10;"2022-05-25 19:12:00";"Anmelden";"FM3;fm3;A/W;Fernmelder;ns13vtddpnjadrobvn7kshrqt3;10.10.13.24"
11;"2022-05-25 19:12:00";"Abmelden";"FM3;fm3;A/W;Fernmelder;ns13vtddpnjadrobvn7kshrqt3;10.10.13.24"
12;"2022-05-25 19:12:00";"Abmelden";"FM1;fm1;A/W;Fernmelder;0475c2u0gd9m41rfgml9fhvcr4;10.10.13.21"
13;"2022-05-25 19:13:00";"Funktion Ummelden";"Sichter_1;si1;Si;Stab;rod22k2c24dmbm5irhkkmme0d0;10.10.13.24"
14;"2022-05-25 20:27:00";"Sessiondaten neu setzen";"Sichter_1;si1;Si;Stab;mqq1ivh6r8ph76firt13itjav4;10.10.13.24"
15;"2022-05-25 20:27:00";"Abmelden";"Sichter_1;si1;Si;Stab;mqq1ivh6r8ph76firt13itjav4;10.10.13.24"
16;"2022-05-25 21:25:00";"Funktion Ummelden";"Sichter_1;si1;Si;Stab;a87mkg9a8o943qt99tccn4enq1;10.10.13.24"
17;"2022-05-25 21:25:00";"Funktion Ummelden";"FM1;fm1;A/W;Fernmelder;ovqr7el1cdhpsfnnimur2b3uu1;10.10.13.21"
18;"2022-05-25 21:36:00";"Abmelden";"FM1;fm1;A/W;Fernmelder;ovqr7el1cdhpsfnnimur2b3uu1;10.10.13.21"
19;"2022-05-25 21:44:00";"Abmelden";"Sichter_1;si1;Si;Stab;a87mkg9a8o943qt99tccn4enq1;10.10.13.24"
20;"2022-05-26 07:09:00";"Funktion Ummelden";"Sichter_1;si1;Si;Stab;pdflej22dbj4nst88gtjj4odv4;10.10.13.24"
21;"2022-05-26 07:09:00";"Anmelden";"Vierhus, Bernd;bvi;S3S6;Stab;j5ojpkle4lise3n78kr3foo300;10.10.13.26"
22;"2022-05-26 07:11:00";"Funktion Ummelden";"FM1;fm1;A/W;Fernmelder;5dsqfupgl1frqgr19v02hoovv1;10.10.13.21"
23;"2022-05-26 07:11:00";"Funktion Ummelden";"FM2;fm2;A/W;Fernmelder;u4006j14l9qhijtmiv7iq0gpn4;10.10.13.22"
24;"2022-05-26 07:12:00";"Funktion Ummelden";"FM3;fm3;A/W;Fernmelder;bc9q92baejh3l29vs8t9uk5rt4;10.10.13.23"
25;"2022-05-26 07:58:00";"FM-Eingang";"INSERT into `lvweestab_nachrichten` SET\
            `01_medium`       = \"Fu\",\
            `01_datum`        = \"2022-05-26 07:58:00\",\
            `01_zeichen`      = \"fm2\",\
            `04_richtung`     = \"E\",\
            `04_nummer`       = \"1\",\
            `05_gegenstelle`  = \"Leiter V\",\
            `07_durchspruch`  = \"\",\
            `08_befhinweis`   = \"\",\
            `08_befhinwausw`  = \"\",\
            `09_vorrangstufe` = \"\",\
            `10_anschrift`    = \"EAL DLRG WE\",\
            `11_gesprnotiz`   = \"f\",\
            `12_anhang`       = \"\",\
            `12_inhalt`       = \"Leiter V mit KdoW aus COE auf dem Weg in den Sammelraum nach D&uuml;lmen.\
\
0/0/0/3//3\",\
            `12_abfzeit`      = \"2022-05-26 07:58:00\",\
            `13_abseinheit`   = \"FmBSt\",\
            `14_zeichen`      = \"\",\
            `14_funktion`     = \"\",\
            `16_empf`         = \"S2_rt,\",\
            `x00_status`      = \"4\",\
            `x01_abschluss`   = \"f\";u4006j14l9qhijtmiv7iq0gpn4;10.10.13.22"
26;"2022-05-26 08:33:00";"FM-Eingang";"INSERT into `lvweestab_nachrichten` SET\
            `01_medium`       = \"Fu\",\
            `01_datum`        = \"2022-05-26 08:33:00\",\
            `01_zeichen`      = \"fm3\",\
            `04_richtung`     = \"E\",\
            `04_nummer`       = \"2\",\
            `05_gegenstelle`  = \"Pelikan Westfalen\",\
            `07_durchspruch`  = \"\",\
            `08_befhinweis`   = \"\",\
            `08_befhinwausw`  = \"\",\
            `09_vorrangstufe` = \"\",\
            `10_anschrift`    = \"Alle\",\
            `11_gesprnotiz`   = \"f\",\
            `12_anhang`       = \"\",\
            `12_inhalt`       = \"Anmeldung im Funkverkehrskreis.\
Einsatzbereitschaft ist hergestellt.\",\
            `12_abfzeit`      = \"2022-05-26 08:33:00\",\
            `13_abseinheit`   = \"Pelikan Westfalen\",\
            `14_zeichen`      = \"\",\
            `14_funktion`     = \"\",\
            `16_empf`         = \"S2_rt,\",\
            `x00_status`      = \"4\",\
            `x01_abschluss`   = \"f\";bc9q92baejh3l29vs8t9uk5rt4;10.10.13.23"
27;"2022-05-26 08:46:00";"FM-Eingang";"INSERT into `lvweestab_nachrichten` SET\
            `01_medium`       = \"Fu\",\
            `01_datum`        = \"2022-05-26 08:46:00\",\
            `01_zeichen`      = \"fm1\",\
            `04_richtung`     = \"E\",\
            `04_nummer`       = \"3\",\
            `05_gegenstelle`  = \"WRZ 7\",\
            `07_durchspruch`  = \"\",\
            `08_befhinweis`   = \"\",\
            `08_befhinwausw`  = \"\",\
